"candidate_name","win_count","avg_percentage"
"CLYDE BILLINGTON",1,0.339098057004612
"CLYDE C HOLLOWAY",5,0.89104503930803
"CLYDE C WOLLOWAY",1,1
"CONNIE MACK",7,0.714351433597732
"CONSTANCE A MORELLA",8,0.631900886537285
"COOPER EVANS",3,0.558455632483783
"CORY GARDNER",2,0.554503939747683
"CORY MILLS",1,0.585308579039976
"CRAIG DUEHRING",1,0.381002347516726
"CRAIG T JAMES",2,0.530344109364488
"CRAIG THOMAS",2,0.56454175952371
"CRESENT HARDY",1,0.485284559683746
"CRISTOPHER H SMITH",1,0.618074411856151
"CURT CLAWSON",1,0.645521163731817
"CURT SCHRIMPF",1,0.294626500676637
"CURT WELDON",10,0.658409284145688
"CYNTHIA M LUMMIS",4,0.635059135610059
"D FRENCH SLAUGHER JR",1,0.996450289505077
"D FRENCH SLAUGHTER JR",3,0.709434323375675
"DALE STRONG",1,0.67086008185873
"DAN BENISHEK",3,0.507395080046679
"DAN BISHOP",2,0.627514031943565
"DAN BURTON",15,0.69687387336812
"DAN COATS",3,0.653413804429847
"DAN CRENSHAW",3,0.581240701812286
"DAN FRISA",1,0.446463978849967
"DAN LUNGREN",5,0.658846382321681
"DAN MARRIOTT",4,0.588852432118472
"DAN MILLER",5,0.772056704278834
"DAN NEWHOUSE",3,0.65160299956026
"DAN QUAYLE",1,0.643613577691281
"DAN R COATS",1,0.605292877958274
"DAN SCHAEFER",7,0.678454016842644
"DAN STEVENS",1,0.34638610805443
"DANA ROHRABACHER",14,0.604392707392299
"DANA ROHRACHER",1,0.641219714522727
"DANIEL B CRANE",3,0.583088913234868
"DANIEL E LUNGREN",4,0.579702812522839
"DANIEL M DONOVAN JR",1,0.487076808174227
"DANIEL MATHIAS",1,0.24431785561644
"DANIEL MEUSER",2,0.645282396053444
"DANIEL NIELSEN MATHIAS",1,0.258889296903689
"DANIEL PHILIP MEUSER",1,0.663303478394552
"DANIEL R COATS",1,0.608458185333077
"DANIEL WEBSTER",7,0.613838789063052
"DARIN LAHOOD",4,0.690260842578881
"DARRELL E ISSA",8,0.615929825438989
"DARRELL ISSA",3,0.585815840343915
"DAVE BRAT",1,0.575100946031126
"DAVE CAMP",12,0.674890650010807
"DAVE DREIER",1,0.517921589191524
"DAVE HUGHES",1,0.478379021629859
"DAVE REICHERT",1,0.515003016353689
"DAVE STOCKMAN",3,0.684669832239736
"DAVE TROTT",1,0.558971970800595
"DAVE WELDON",6,0.596880145347387
"DAVID A BRAT",1,0.608281864467374
"DAVID A LEVY",1,0.377075917070264
