"id","givenName","familyName","middleName","unaccentedGivenName","unaccentedFamilyName","unaccentedMiddleName","nickName","honorificPrefix","honorificSuffix","honorificTitle","birthYear","deathYear","congresses"
"A000365","Steve","Austria",,"Steve","Austria",,,,,,"1958",,"[{""position"":""Representative"",""congressNumber"":111,""stateName"":""OH"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""OH"",""parties"":[""Republican""]}]"
"B001291","Brian","Babin",,"Brian","Babin",,,,,,"1948",,"[{""position"":""Representative"",""congressNumber"":114,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""TX"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""TX"",""parties"":[""Republican""],""electionCirca"":false}]"
"B001256","Michele","Bachmann",,"Michele","Bachmann",,,,,,"1956",,"[{""position"":""Representative"",""congressNumber"":110,""stateName"":""MN"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""MN"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""MN"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":113,""stateName"":""MN"",""parties"":[""Republican""]}]"
"B000013","Spencer","Bachus","T.","Spencer","Bachus","T.",,,"III",,"1947",,"[{""position"":""Representative"",""congressNumber"":111,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":103,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":113,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""AL"",""parties"":[""Republican""]}]"
"B001298","Donald","Bacon","J.","Donald","Bacon","J.",,,,,"1963",,"[{""position"":""Representative"",""congressNumber"":115,""stateName"":""NE"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""NE"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""NE"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""NE"",""parties"":[""Republican""],""electionCirca"":false}]"
"B000024","Robert","Badham","Edward","Robert","Badham","Edward",,,,,"1929","2005","[{""position"":""Representative"",""congressNumber"":95,""stateName"":""CA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":96,""stateName"":""CA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":97,""stateName"":""CA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":98,""stateName"":""CA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":99,""stateName"":""CA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":100,""stateName"":""CA"",""parties"":[""Republican""]}]"
"B000029","Louis","Bafalis","Arthur","Louis","Bafalis","Arthur","Skip",,,,"1929","2023","[{""position"":""Representative"",""congressNumber"":93,""stateName"":""FL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":94,""stateName"":""FL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":95,""stateName"":""FL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":96,""stateName"":""FL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":97,""stateName"":""FL"",""parties"":[""Republican""]}]"
"B000047","R.","Bailey","Wendell","R.","Bailey","Wendell",,,,,"1940",,"[{""position"":""Representative"",""congressNumber"":97,""stateName"":""MO"",""parties"":[""Republican""]}]"
"B001307","James","Baird",,"James","Baird",,,,,,"1945",,"[{""position"":""Representative"",""congressNumber"":116,""stateName"":""IN"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""IN"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""IN"",""parties"":[""Republican""],""electionCirca"":false}]"
"B000072","Richard","Baker","Hugh","Richard","Baker","Hugh",,,,,"1948",,"[{""position"":""Representative"",""congressNumber"":100,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":101,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":102,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":103,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""LA"",""parties"":[""Republican""]}]"
"B000078","William","Baker","P.","William","Baker","P.",,,,,"1940",,"[{""position"":""Representative"",""congressNumber"":103,""stateName"":""CA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""CA"",""parties"":[""Republican""]}]"
"B001306","Troy","Balderson",,"Troy","Balderson",,,,,,"1962",,"[{""position"":""Representative"",""congressNumber"":115,""stateName"":""OH"",""parties"":[""Republican""],""electionDate"":""2018-08-07"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":116,""stateName"":""OH"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""OH"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""OH"",""parties"":[""Republican""],""electionCirca"":false}]"
"B000104","Cass","Ballenger",,"Cass","Ballenger",,,,,,"1926","2015","[{""position"":""Representative"",""congressNumber"":100,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":101,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":102,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":103,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":99,""stateName"":""NC"",""parties"":[""Republican""],""electionDate"":""1986-11-04"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":107,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""NC"",""parties"":[""Republican""]}]"
"B001299","James","Banks","E.","James","Banks","E.",,,,,"1979",,"[{""position"":""Representative"",""congressNumber"":115,""stateName"":""IN"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""IN"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""IN"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""IN"",""parties"":[""Republican""],""electionCirca"":false}]"
"B001269","Lou","Barletta",,"Lou","Barletta",,,,,,"1956",,"[{""position"":""Representative"",""congressNumber"":112,""stateName"":""PA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":113,""stateName"":""PA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":114,""stateName"":""PA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""PA"",""parties"":[""Republican""]}]"
"B000169","Bob","Barr",,"Bob","Barr",,,,,,"1948",,"[{""position"":""Representative"",""congressNumber"":104,""stateName"":""GA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""GA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""GA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""GA"",""parties"":[""Republican""]}]"
"B001282","Garland","Barr","H.","Garland","Barr","H.","Andy",,"IV",,"1973",,"[{""position"":""Representative"",""congressNumber"":113,""stateName"":""KY"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":114,""stateName"":""KY"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""KY"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""KY"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""KY"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""KY"",""parties"":[""Republican""],""electionCirca"":false}]"
"B001239","James","Barrett","Gresham","James","Barrett","Gresham",,,,,"1961",,"[{""position"":""Representative"",""congressNumber"":109,""stateName"":""SC"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""SC"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""SC"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""SC"",""parties"":[""Republican""]}]"
"B000179","William","Barrett","E.","William","Barrett","E.",,,,,"1929","2016","[{""position"":""Representative"",""congressNumber"":102,""stateName"":""NE"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":103,""stateName"":""NE"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""NE"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""NE"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""NE"",""parties"":[""Republican""]}]"
"B000204","Harry","Bartlett","Stephen","Harry","Bartlett","Stephen","Steve",,,,"1947",,"[{""position"":""Representative"",""congressNumber"":98,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":99,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":100,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":101,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":102,""stateName"":""TX"",""parties"":[""Republican""]}]"
"B000208","Roscoe","Bartlett","Gardner","Roscoe","Bartlett","Gardner",,,,,"1926",,"[{""position"":""Representative"",""congressNumber"":103,""stateName"":""MD"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""MD"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""MD"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""MD"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""MD"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""MD"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""MD"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""MD"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""MD"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""MD"",""parties"":[""Republican""]}]"
