"id","givenName","familyName","middleName","unaccentedGivenName","unaccentedFamilyName","unaccentedMiddleName","nickName","honorificPrefix","honorificSuffix","honorificTitle","birthYear","deathYear","congresses"
"A000207","Ike","Andrews","Franklin","Ike","Andrews","Franklin",,,,,"1925","2010","[{""position"":""Representative"",""congressNumber"":93,""stateName"":""NC"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":94,""stateName"":""NC"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":95,""stateName"":""NC"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":96,""stateName"":""NC"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":97,""stateName"":""NC"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":98,""stateName"":""NC"",""parties"":[""Democrat""]}]"
"A000209","Michael","Andrews","Allen","Michael","Andrews","Allen",,,,,"1944",,"[{""position"":""Representative"",""congressNumber"":98,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":99,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":100,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":101,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":102,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":103,""stateName"":""TX"",""parties"":[""Democrat""]}]"
"A000210","Robert","Andrews","Ernest","Robert","Andrews","Ernest",,,,,"1957",,"[{""position"":""Representative"",""congressNumber"":113,""stateName"":""NJ"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":106,""stateName"":""NJ"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""NJ"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""NJ"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""NJ"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":101,""stateName"":""NJ"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":103,""stateName"":""NJ"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":102,""stateName"":""NJ"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""NJ"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""NJ"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""NJ"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""NJ"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""NJ"",""parties"":[""Democrat""]}]"
"A000211","Thomas","Andrews","Hiram","Thomas","Andrews","Hiram",,,,,"1953",,"[{""position"":""Representative"",""congressNumber"":102,""stateName"":""ME"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":103,""stateName"":""ME"",""parties"":[""Democrat""]}]"
"A000212","Frank","Annunzio",,"Frank","Annunzio",,,,,,"1915","2001","[{""position"":""Representative"",""congressNumber"":89,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":90,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":91,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":92,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":93,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":94,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":95,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":96,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":97,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":98,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":99,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":100,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":101,""stateName"":""IL"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":102,""stateName"":""IL"",""parties"":[""Democrat""]}]"
"A000213","Beryl","Anthony","Franklin","Beryl","Anthony","Franklin",,,"Jr.",,"1938",,"[{""position"":""Representative"",""congressNumber"":96,""stateName"":""AR"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":97,""stateName"":""AR"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":98,""stateName"":""AR"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":99,""stateName"":""AR"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":100,""stateName"":""AR"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":101,""stateName"":""AR"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":102,""stateName"":""AR"",""parties"":[""Democrat""]}]"
"A000214","Douglas","Applegate","Earl","Douglas","Applegate","Earl",,,,,"1928","2021","[{""position"":""Representative"",""congressNumber"":103,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":97,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":96,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":95,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":100,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":98,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":102,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":99,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":101,""stateName"":""OH"",""parties"":[""Democrat""]}]"
"A000363","Michael","Arcuri",,"Michael","Arcuri",,,,,,"1959",,"[{""position"":""Representative"",""congressNumber"":110,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""NY"",""parties"":[""Democrat""]}]"
"A000373","John","Ashford","Bradley","John","Ashford","Bradley",,,,,"1949","2022","[{""position"":""Representative"",""congressNumber"":114,""stateName"":""NE"",""parties"":[""Democrat""]}]"
"A000222","Thomas","Ashley","William Ludlow","Thomas","Ashley","William Ludlow",,,,,"1923","2010","[{""position"":""Representative"",""congressNumber"":88,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":84,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":92,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":95,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":85,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":96,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":94,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":86,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":89,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":90,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":93,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":87,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":91,""stateName"":""OH"",""parties"":[""Democrat""]}]"
