"candidate_name","win_count","avg_percentage"
"COLLEEN W HANABUSA",1,0.534730764287944
"COLLEEN WAKAKO HANABUSA",1,0.681011188071053
"COLLIN C PETERSON",5,0.611304282213375
"CONOR J LAMB",1,0.511470829871795
"CONOR JAMES LAMB",1,0.562573138930951
"CORI BUSH",2,0.758232207423534
"CORRINE BROWN",12,0.707478494686227
"CRAIG A WASHINGTON",2,0.821289546729292
"CRISTOPHER JOHN",1,1
"CYNTHIA A MCKINNEY",5,0.636487217831678
"CYNTHIA AXNE",1,0.475691875012207
"CYNTHIA MCKINNEY",1,0.637571364943111
"DALE E KILDEE",18,0.704313707904196
"DALE MILFORD",1,0.633939106051087
"DAN BOREN",4,0.664047092943158
"DAN DANIEL",1,0.999473803800572
"DAN GLICKMAN",9,0.653316643533495
"DAN HAMBURG",1,0.476405818332365
"DAN MAFFEI",1,0.442587468270343
"DAN MICA",5,0.633828280170985
"DAN ROSTENKOWSKI",8,0.768890995188825
"DANA BALTER",1,0.444960591530154
"DANIEL B MAFFEI",3,0.461172712029306
"DANIEL D ROSTENKOWSKI",1,0.805410847628273
"DANIEL GOLDMAN",1,0.794445186537444
"DANIEL J FLOOD",2,0.641822912679787
"DANIEL K AKAKA",7,0.845066873826762
"DANIEL LIPINSKI",6,0.755109076393031
"DANIEL T KILDEE",6,0.599858199290137
"DANIEL WILLIAM LIPINSKI",2,0.728229810702082
"DANNY K DAVIS",14,0.86140028693259
"DANTE B FASCELL",8,0.670614278128959
"DARLENE HOOLEY",6,0.540693552636139
"DARREN SOTO",4,0.56292880226996
"DAVE EVANS",1,0.50199350527633
"DAVE LOEBSACK",2,0.531086556860362
"DAVE MCCURDY",7,0.714486317036697
"DAVID BOWEN",1,0.617484583761562
"DAVID D PHELPS",2,0.614245903028721
"DAVID E BONIOR",13,0.583145136605794
"DAVID E PRICE",16,0.628342745409975
"DAVID E SATTERFIELD",1,0.876972243891391
"DAVID E SATTERFIELD III",1,0.879268060059405
"DAVID E SKAGGS",5,0.595850646971396
"DAVID J TRONE",2,0.56769313220721
"DAVID KIM",1,1
"DAVID L CORNWELL",1,0.504629072426467
"DAVID LOEBSACK",5,0.539878977754033
"DAVID MANN",1,0.512683794516984
"DAVID MINGE",1,0.549195168341891
"DAVID N CICILLINE",7,0.612855629907867
"DAVID OBEY",1,0.646735430350207
"DAVID PRICE",1,0.723681397058608
"DAVID R BOWEN",2,0.662951024641042
"DAVID R NAGLE",3,0.723814370390777
"DAVID R OBEY",16,0.63945711901292
"DAVID REED",1,1
"DAVID SANCHEZ",2,1
"DAVID SCOTT",11,0.794936793029683
"DAVID SKAGGS",1,0.514642746325915
"DAVID TRONE",1,0.589752106695935
"DAVID W EVANS",2,0.535474563578858
"DAVID WU",7,0.596655913254849
"DAWSON MATHIS",2,0.998836007351112
"DEAN PHILLIPS",2,0.575825101526479
"DEBBIE DINGELL",5,0.659482741159589
"DEBBIE MUCARSEL-POWELL",1,0.508746151396114
"DEBBIE STABENOW",2,0.555848334879647
"DEBBIE WASSERMAN SCHULTZ",10,0.662192103665515
"DEBORAH ""DEBBIE"" HALVORSON",1,0.584004152314443
"DEBORAH K ROSS",2,0.63820562901095
"DEBRA A HAALAND",2,0.58660426835005
"DELIA RAMIREZ",1,0.684994852581304
"DENISE L MAJETTE",1,0.770292403766468
"DENNIS A CARDOZA",5,0.6854241469664
"DENNIS E ECKART",6,0.637521109457312
"DENNIS J KUCINICH",8,0.626746042074482
"DENNIS M HERTEL",6,0.677324621496442
"DENNIS MOORE",6,0.547482130254125
"DENNY HECK",4,0.583672556659938
"DEREK KILMER",6,0.611165170834823
"DERRICK SHEPHERD",1,0.866732376816715
"DIANA DEGETTE",14,0.70079330276256
"DIANE E WATSON",4,0.896735195499822
"DICK SWETT",1,0.616759706454243
"DINA TITUS",7,0.584594115055826
"DON ALBOSTA",2,0.562740116868623
"DON BAILEY",1,0.684495397204228
"DON BONKER",5,0.673476220198628
"DON DAVIS",1,0.523694990999938
"DON EDWARDS",9,0.675261628638045
"DON FUQUA",5,0.828114313888896
"DON JOHNSON",1,0.538134352433184
"DONALD A BAILEY",1,0.529030961574346
