,id,givenName,familyName,middleName,unaccentedGivenName,unaccentedFamilyName,unaccentedMiddleName,nickName,honorificPrefix,honorificSuffix,honorificTitle,birthYear,deathYear,position,congressNumber,stateName,parties,electionCirca,electionDate,leadershipPositions,electionYear,ageDuringElection
68,A000069,Daniel,Akaka,Kahikina,Daniel,Akaka,Kahikina,,,,,1924,2018.0,Senator,102,HI,['Democrat'],,,,1990,66
69,A000069,Daniel,Akaka,Kahikina,Daniel,Akaka,Kahikina,,,,,1924,2018.0,Senator,107,HI,['Democrat'],,,,2000,76
70,A000069,Daniel,Akaka,Kahikina,Daniel,Akaka,Kahikina,,,,,1924,2018.0,Senator,112,HI,['Democrat'],,,,2010,86
71,A000069,Daniel,Akaka,Kahikina,Daniel,Akaka,Kahikina,,,,,1924,2018.0,Representative,96,HI,['Democrat'],,,,1978,54
72,A000069,Daniel,Akaka,Kahikina,Daniel,Akaka,Kahikina,,,,,1924,2018.0,Senator,108,HI,['Democrat'],,,,2002,78
73,A000069,Daniel,Akaka,Kahikina,Daniel,Akaka,Kahikina,,,,,1924,2018.0,Senator,111,HI,['Democrat'],,,,2008,84
74,A000069,Daniel,Akaka,Kahikina,Daniel,Akaka,Kahikina,,,,,1924,2018.0,Representative,97,HI,['Democrat'],,,,1980,56
75,A000069,Daniel,Akaka,Kahikina,Daniel,Akaka,Kahikina,,,,,1924,2018.0,Senator,104,HI,['Democrat'],,,,1994,70
76,A000069,Daniel,Akaka,Kahikina,Daniel,Akaka,Kahikina,,,,,1924,2018.0,Senator,109,HI,['Democrat'],,,,2004,80
77,A000069,Daniel,Akaka,Kahikina,Daniel,Akaka,Kahikina,,,,,1924,2018.0,Senator,101,HI,['Democrat'],,,,1988,64
78,A000069,Daniel,Akaka,Kahikina,Daniel,Akaka,Kahikina,,,,,1924,2018.0,Representative,95,HI,['Democrat'],,,,1976,52
79,A000069,Daniel,Akaka,Kahikina,Daniel,Akaka,Kahikina,,,,,1924,2018.0,Senator,106,HI,['Democrat'],,,,1998,74
80,A000069,Daniel,Akaka,Kahikina,Daniel,Akaka,Kahikina,,,,,1924,2018.0,Representative,99,HI,['Democrat'],,,,1984,60
81,A000069,Daniel,Akaka,Kahikina,Daniel,Akaka,Kahikina,,,,,1924,2018.0,Representative,100,HI,['Democrat'],,,,1986,62
82,A000069,Daniel,Akaka,Kahikina,Daniel,Akaka,Kahikina,,,,,1924,2018.0,Representative,101,HI,['Democrat'],False,,,1988,64
83,A000073,Carl,Albert,Bert,Carl,Albert,Bert,,,,,1908,2000.0,Representative,83,OK,['Democrat'],,,,1952,44
84,A000073,Carl,Albert,Bert,Carl,Albert,Bert,,,,,1908,2000.0,Representative,85,OK,['Democrat'],,,,1956,48
85,A000073,Carl,Albert,Bert,Carl,Albert,Bert,,,,,1908,2000.0,Representative,88,OK,['Democrat'],,,,1962,54
86,A000073,Carl,Albert,Bert,Carl,Albert,Bert,,,,,1908,2000.0,Representative,93,OK,['Democrat'],,,[{'position': 'Speaker Of The House'}],1972,64
87,A000073,Carl,Albert,Bert,Carl,Albert,Bert,,,,,1908,2000.0,Representative,94,OK,['Democrat'],,,[{'position': 'Speaker Of The House'}],1974,66
88,A000073,Carl,Albert,Bert,Carl,Albert,Bert,,,,,1908,2000.0,Representative,89,OK,['Democrat'],,,,1964,56
89,A000073,Carl,Albert,Bert,Carl,Albert,Bert,,,,,1908,2000.0,Representative,84,OK,['Democrat'],,,,1954,46
90,A000073,Carl,Albert,Bert,Carl,Albert,Bert,,,,,1908,2000.0,Representative,90,OK,['Democrat'],,,,1966,58
91,A000073,Carl,Albert,Bert,Carl,Albert,Bert,,,,,1908,2000.0,Representative,80,OK,['Democrat'],,,,1946,38
92,A000073,Carl,Albert,Bert,Carl,Albert,Bert,,,,,1908,2000.0,Representative,92,OK,['Democrat'],,,[{'position': 'Speaker Of The House'}],1970,62
93,A000073,Carl,Albert,Bert,Carl,Albert,Bert,,,,,1908,2000.0,Representative,81,OK,['Democrat'],,,,1948,40
94,A000073,Carl,Albert,Bert,Carl,Albert,Bert,,,,,1908,2000.0,Representative,86,OK,['Democrat'],,,,1958,50
95,A000073,Carl,Albert,Bert,Carl,Albert,Bert,,,,,1908,2000.0,Representative,91,OK,['Democrat'],,,,1968,60
96,A000073,Carl,Albert,Bert,Carl,Albert,Bert,,,,,1908,2000.0,Representative,87,OK,['Democrat'],,,,1960,52
97,A000073,Carl,Albert,Bert,Carl,Albert,Bert,,,,,1908,2000.0,Representative,82,OK,['Democrat'],,,,1950,42
98,A000076,Donald,Albosta,Joseph,Donald,Albosta,Joseph,,,,,1925,2014.0,Representative,96,MI,['Democrat'],,,,1978,53
99,A000076,Donald,Albosta,Joseph,Donald,Albosta,Joseph,,,,,1925,2014.0,Representative,97,MI,['Democrat'],,,,1980,55
100,A000076,Donald,Albosta,Joseph,Donald,Albosta,Joseph,,,,,1925,2014.0,Representative,98,MI,['Democrat'],,,,1982,57
101,A000361,Rodney,Alexander,,Rodney,Alexander,,,,,,1946,,Representative,108,LA,"['Democrat', 'Republican']",,,,2002,56
102,A000361,Rodney,Alexander,,Rodney,Alexander,,,,,,1946,,Representative,110,LA,['Republican'],,,,2006,60
103,A000361,Rodney,Alexander,,Rodney,Alexander,,,,,,1946,,Representative,109,LA,['Republican'],,,,2004,58
104,A000361,Rodney,Alexander,,Rodney,Alexander,,,,,,1946,,Representative,111,LA,['Republican'],,,,2008,62
105,A000361,Rodney,Alexander,,Rodney,Alexander,,,,,,1946,,Representative,112,LA,['Republican'],,,,2010,64
106,A000361,Rodney,Alexander,,Rodney,Alexander,,,,,,1946,,Representative,113,LA,['Republican'],False,,,2012,66
107,A000103,William,Alexander,Vollie,William,Alexander,Vollie,Bill,,Jr.,,1934,,Representative,91,AR,['Democrat'],,,,1968,34
108,A000103,William,Alexander,Vollie,William,Alexander,Vollie,Bill,,Jr.,,1934,,Representative,92,AR,['Democrat'],,,,1970,36
109,A000103,William,Alexander,Vollie,William,Alexander,Vollie,Bill,,Jr.,,1934,,Representative,93,AR,['Democrat'],,,,1972,38
110,A000103,William,Alexander,Vollie,William,Alexander,Vollie,Bill,,Jr.,,1934,,Representative,94,AR,['Democrat'],,,,1974,40
111,A000103,William,Alexander,Vollie,William,Alexander,Vollie,Bill,,Jr.,,1934,,Representative,95,AR,['Democrat'],,,,1976,42
112,A000103,William,Alexander,Vollie,William,Alexander,Vollie,Bill,,Jr.,,1934,,Representative,96,AR,['Democrat'],,,,1978,44
113,A000103,William,Alexander,Vollie,William,Alexander,Vollie,Bill,,Jr.,,1934,,Representative,97,AR,['Democrat'],,,,1980,46
114,A000103,William,Alexander,Vollie,William,Alexander,Vollie,Bill,,Jr.,,1934,,Representative,98,AR,['Democrat'],,,,1982,48
115,A000103,William,Alexander,Vollie,William,Alexander,Vollie,Bill,,Jr.,,1934,,Representative,99,AR,['Democrat'],,,,1984,50
116,A000103,William,Alexander,Vollie,William,Alexander,Vollie,Bill,,Jr.,,1934,,Representative,100,AR,['Democrat'],,,,1986,52
117,A000103,William,Alexander,Vollie,William,Alexander,Vollie,Bill,,Jr.,,1934,,Representative,101,AR,['Democrat'],,,,1988,54
118,A000103,William,Alexander,Vollie,William,Alexander,Vollie,Bill,,Jr.,,1934,,Representative,102,AR,['Democrat'],,,,1990,56
119,A000118,Clifford,Allen,Robertson,Clifford,Allen,Robertson,,,,,1912,1978.0,Representative,94,TN,['Democrat'],,,,1974,62
120,A000118,Clifford,Allen,Robertson,Clifford,Allen,Robertson,,,,,1912,1978.0,Representative,95,TN,['Democrat'],,,,1976,64
121,A000357,Thomas,Allen,H.,Thomas,Allen,H.,,,,,1945,,Representative,105,ME,['Democrat'],,,,1996,51
122,A000357,Thomas,Allen,H.,Thomas,Allen,H.,,,,,1945,,Representative,106,ME,['Democrat'],,,,1998,53
123,A000357,Thomas,Allen,H.,Thomas,Allen,H.,,,,,1945,,Representative,107,ME,['Democrat'],,,,2000,55
124,A000357,Thomas,Allen,H.,Thomas,Allen,H.,,,,,1945,,Representative,108,ME,['Democrat'],,,,2002,57
125,A000357,Thomas,Allen,H.,Thomas,Allen,H.,,,,,1945,,Representative,109,ME,['Democrat'],,,,2004,59
126,A000357,Thomas,Allen,H.,Thomas,Allen,H.,,,,,1945,,Representative,110,ME,['Democrat'],,,,2006,61
127,A000376,Colin,Allred,,Colin,Allred,,,,,,1983,,Representative,116,TX,['Democrat'],,,,2018,35
128,A000376,Colin,Allred,,Colin,Allred,,,,,,1983,,Representative,117,TX,['Democrat'],False,,,2020,37
129,A000376,Colin,Allred,,Colin,Allred,,,,,,1983,,Representative,118,TX,['Democrat'],False,,,2022,39
130,A000362,Jason,Altmire,,Jason,Altmire,,,,,,1968,,Representative,111,PA,['Democrat'],,,,2008,40
131,A000362,Jason,Altmire,,Jason,Altmire,,,,,,1968,,Representative,110,PA,['Democrat'],,,,2006,38
132,A000362,Jason,Altmire,,Jason,Altmire,,,,,,1968,,Representative,112,PA,['Democrat'],,,,2010,42
133,A000170,Jerome,Ambro,Anthony,Jerome,Ambro,Anthony,,,Jr.,,1928,1993.0,Representative,94,NY,['Democrat'],,,,1974,46
134,A000170,Jerome,Ambro,Anthony,Jerome,Ambro,Anthony,,,Jr.,,1928,1993.0,Representative,95,NY,['Democrat'],,,,1976,48
135,A000170,Jerome,Ambro,Anthony,Jerome,Ambro,Anthony,,,Jr.,,1928,1993.0,Representative,96,NY,['Democrat'],,,,1978,50
136,A000177,Joseph,Ammerman,Scofield,Joseph,Ammerman,Scofield,,,,,1924,1993.0,Representative,95,PA,['Democrat'],,,,1976,52
137,A000189,Glenn,Anderson,Malcolm,Glenn,Anderson,Malcolm,,,,,1913,1994.0,Representative,91,CA,['Democrat'],,,,1968,55
138,A000189,Glenn,Anderson,Malcolm,Glenn,Anderson,Malcolm,,,,,1913,1994.0,Representative,92,CA,['Democrat'],,,,1970,57
139,A000189,Glenn,Anderson,Malcolm,Glenn,Anderson,Malcolm,,,,,1913,1994.0,Representative,93,CA,['Democrat'],,,,1972,59
140,A000189,Glenn,Anderson,Malcolm,Glenn,Anderson,Malcolm,,,,,1913,1994.0,Representative,94,CA,['Democrat'],,,,1974,61
141,A000189,Glenn,Anderson,Malcolm,Glenn,Anderson,Malcolm,,,,,1913,1994.0,Representative,95,CA,['Democrat'],,,,1976,63
142,A000189,Glenn,Anderson,Malcolm,Glenn,Anderson,Malcolm,,,,,1913,1994.0,Representative,96,CA,['Democrat'],,,,1978,65
143,A000189,Glenn,Anderson,Malcolm,Glenn,Anderson,Malcolm,,,,,1913,1994.0,Representative,97,CA,['Democrat'],,,,1980,67
144,A000189,Glenn,Anderson,Malcolm,Glenn,Anderson,Malcolm,,,,,1913,1994.0,Representative,98,CA,['Democrat'],,,,1982,69
145,A000189,Glenn,Anderson,Malcolm,Glenn,Anderson,Malcolm,,,,,1913,1994.0,Representative,99,CA,['Democrat'],,,,1984,71
146,A000189,Glenn,Anderson,Malcolm,Glenn,Anderson,Malcolm,,,,,1913,1994.0,Representative,100,CA,['Democrat'],,,,1986,73
147,A000189,Glenn,Anderson,Malcolm,Glenn,Anderson,Malcolm,,,,,1913,1994.0,Representative,101,CA,['Democrat'],,,,1988,75
148,A000189,Glenn,Anderson,Malcolm,Glenn,Anderson,Malcolm,,,,,1913,1994.0,Representative,102,CA,['Democrat'],,,,1990,77
149,A000207,Ike,Andrews,Franklin,Ike,Andrews,Franklin,,,,,1925,2010.0,Representative,93,NC,['Democrat'],,,,1972,47
150,A000207,Ike,Andrews,Franklin,Ike,Andrews,Franklin,,,,,1925,2010.0,Representative,94,NC,['Democrat'],,,,1974,49
151,A000207,Ike,Andrews,Franklin,Ike,Andrews,Franklin,,,,,1925,2010.0,Representative,95,NC,['Democrat'],,,,1976,51
152,A000207,Ike,Andrews,Franklin,Ike,Andrews,Franklin,,,,,1925,2010.0,Representative,96,NC,['Democrat'],,,,1978,53
153,A000207,Ike,Andrews,Franklin,Ike,Andrews,Franklin,,,,,1925,2010.0,Representative,97,NC,['Democrat'],,,,1980,55
154,A000207,Ike,Andrews,Franklin,Ike,Andrews,Franklin,,,,,1925,2010.0,Representative,98,NC,['Democrat'],,,,1982,57
155,A000209,Michael,Andrews,Allen,Michael,Andrews,Allen,,,,,1944,,Representative,98,TX,['Democrat'],,,,1982,38
156,A000209,Michael,Andrews,Allen,Michael,Andrews,Allen,,,,,1944,,Representative,99,TX,['Democrat'],,,,1984,40
157,A000209,Michael,Andrews,Allen,Michael,Andrews,Allen,,,,,1944,,Representative,100,TX,['Democrat'],,,,1986,42
158,A000209,Michael,Andrews,Allen,Michael,Andrews,Allen,,,,,1944,,Representative,101,TX,['Democrat'],,,,1988,44
159,A000209,Michael,Andrews,Allen,Michael,Andrews,Allen,,,,,1944,,Representative,102,TX,['Democrat'],,,,1990,46
160,A000209,Michael,Andrews,Allen,Michael,Andrews,Allen,,,,,1944,,Representative,103,TX,['Democrat'],,,,1992,48
161,A000210,Robert,Andrews,Ernest,Robert,Andrews,Ernest,,,,,1957,,Representative,113,NJ,['Democrat'],False,,,2012,55
162,A000210,Robert,Andrews,Ernest,Robert,Andrews,Ernest,,,,,1957,,Representative,106,NJ,['Democrat'],,,,1998,41
163,A000210,Robert,Andrews,Ernest,Robert,Andrews,Ernest,,,,,1957,,Representative,110,NJ,['Democrat'],,,,2006,49
